SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,SERVICE,CPT CODE,SURG_NAME,QUANTITY,ORCC,TRAYS,,,,,,,
ENT,30410,30410 RECONSTRUCTION OF NOSE,3,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,GYN,11423,11423 EXC H-F-NK-SP B9+MARG 2.1-3,1,26506,minor basic,plastic basic,,,,,,
ENT,30420,30420 RECONSTRUCTION OF NOSE,7,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,PLASTIC,11423,11423 EXC H-F-NK-SP B9+MARG 2.1-3,2,26506,minor basic,plastic basic,,,,,,
ENT,30450,30450 REVISION OF NOSE,1,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,ENT,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,30520,30520 REPAIR OF NASAL SEPTUM,47,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,GEN,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,2,26506,minor basic,plastic basic,,,,,,
ENT,30520,30520 REPAIR OF NASAL SEPTUM,4,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,GYN,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,30630,30630 REPAIR NASAL SEPTUM DEFECT,2,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,ORTHO,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,30930,30930 THER FX NASAL INF TURBINATE,3,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,PLASTIC,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,30930,30930 THER FX NASAL INF TURBINATE,1,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,UROLOGY,11426,11426 EXC H-F-NK-SP B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,30999,30999 NASAL SURGERY PROCEDURE,4,26531,front sinus set,ENT nasal anesthesia tray,plastic basic tray,FESS set,ENT,11440,11440 EXC FACF-MM B9+MARG 0.5 < CM,2,26506,minor basic,plastic basic,,,,,,
ENT,31237,31237 NASAL/SINUS ENDOSCOPY SURG,3,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,11440,11440 EXC FACE-MM B9+MARG 0.5 < CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31237,31237 NASAL/SINUS ENDOSCOPY SURG,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,OPTHAMOLOGY,11440,11440 EXC FACE-MM B9+MARG 0.5 < CM,2,26506,minor basic,plastic basic,,,,,,
ENT,31238,31238 NASAL/SINUS ENDOSCOPY SURG,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11442,11442 EXC FACE-MM B9+MARG 1.1-2 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31240,31240 NASAL/SINUS ENDOSCOPY SURG,3,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ENT,11443,11443 EXC FACE-MM B9+MARG 2.1-3 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31240,31240 NASAL/SINUS ENDOSCOPY SURG,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11443,11443 EXC FACE-MM B9+MARG 2.1-3 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31254,31254 REVISION OF ETHMOID SINUS,5,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11444,11444 EXC FACE-MM B9+MARG 3 1-4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31254,31254 REVISION OF ETHMOID SINUS,4,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ENT,11446,11446 EXC FACL-MM B9+MARG > 4 CM,3,26506,minor basic,plastic basic,,,,,,
ENT,31255,31255 REMOVAL OF ETHMOID SINUS,35,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ORAL,11446,11446 EXC FACE-MM B9+MARG > 4 CM,2,26506,minor basic,plastic basic,,,,,,
ENT,31255,31255 REMOVAL OF ETHMOID SINUS,2,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11446,11446 EXC FACE-MM B9+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31256,31256 EXPLORATION MAXILLARY SINUS,3,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,11503,11503 EXC TR-EXT MAL+MARG 2.1-3 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31256,31256 EXPLORATION MAXILLARY SINUS,3,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,11604,11604 EXC TR-EXT MAL+MARG 3.1-4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31267,31267 ENDOSCOPY MAXILLARY SINUS,35,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11606,11606 EXC TR-EXT MAL+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31267,31267 ENDOSCOPY MAXILLARY SINUS,2,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,UROLOGY,11606,11606 EXC TR-EXT MAL+MARG > 4 CM,1,26506,minor basic,plastic basic,,,,,,
ENT,31276,31276 SINUS ENDOSCOPY SURGICAL,31,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11620,11620 EXC H-F-NK-SP MAI <MARG 0.5 <,2,26506,minor basic,plastic basic,,,,,,
ENT,31276,31276 SINUS FNDOSCOPY SURGICAL,4,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,UROLOGY,11622,11622 EXC S/N/H/F/G MAL+MRG 1.1-2,1,26506,minor basic,plastic basic,,,,,,
ENT,31287,31287 NASAL/SINUS ENDOSCOPY SURG,13,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,UROLOGY,11622,11622 EXC S/N/H/F/G MAL+MRG 1.1-2,1,26506,minor basic,plastic basic,,,,,,
ENT,31288,31288 NASAL/SINUS FNDOSCOPY SURG,14,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,11623,11623 EXC S/N/H/F/G MAL+MRG 2.1-3,1,26506,minor basic,plastic basic,,,,,,
ENT,31288,31288 NASAL/SINUS ENDOSCOPY SURG,2,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GYN,11623,11623 EXC S/N/H/F/G MAL+MRG 2.1-3,1,26506,minor basic,plastic basic,,,,,,
ENT,31292,31292 NASAL/SINUS ENDOSCOPY SURG,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,11624,11624 EXC S/N/H/F/G MAL*MRG 3.1 4,1,26506,minor basic,plastic basic,,,,,,
ENT,31545,31545 REMOVE VC LESION W/SCOPE,10,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,11626,11626 EXC S/N/H/F/G MAL+MRG > 4 CM,3,26506,minor basic,plastic basic,,,,,,
ENT,31546,31546 REMOVE VC LESION SCOPE/GRAFT,3,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,UROLOGY,11626,11626 EXC S/N/H/F/G MAL+MRG > 4 CM,2,26506,minor basic,plastic basic,,,,,,
ENT,43194,43194 ESOPHAGOSCP RIG TRNSO REM FB,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ENT,11641,11641 EXC F/E/E/N/L MAL+MRG 0.6-1,1,26506,minor basic,plastic basic,,,,,,
ENT,43196,43196 ESOPHAGOSCP GUIDE WIRE DILAT,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,GEN,13101,13101 CMPLX RPR TRUNK 2.6-7.5 CM,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,43200,43200 ESOPHAGOSCOPY FLEXIBLE BRUSH,4,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ORAL,13131,13131 REPAIR OF WOUND OR LESION,2,26631,minor basic,plastic basic,,,,,,
ENT,43201,43201 ESOPH SCOPE W/SUBMUCOUS INJ,2,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ENT,14040,14040 SKIN TISSUF REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,43202,43202 ESOPHAGOSCOPY FLEX BIOPSY,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ORAL,14040,14040 SKIN TISSUE REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,43450,43450 DILATE ESOPHAGUS,2,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,PLASTIC,14041,14041 SKIN TISSUE REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,major basic,,,,,
ENT,43499,43499 ESOPHAGUS SURGERY PROCEDURE,1,26532,"FESS set, sphenoid set, ENT nasal anesthia tray, front sinus set",,,,ENT,14060,14060 SKIN TISSUE REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,50210,50210 PARTIAL THYROID EXCISION,1,26543,sinus tray,tracheotomy tray,neck dissection tray,,OPTHAMOLOGY,14060,14060 SKIN TISSUE REARRANGEMENT,5,26592,hand and wrist tray,plastic basic,,,,,,
ENT,60220,60220 PARTIAL REMOVAL OF THYROID,3,26543,sinus tray,tracheotomy tray,neck dissection tray,,PLASTIC,14060,14060 SKIN TISSUE REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,major basic,,,,,
ENT,60240,60240 REMOVAL OF THYROID,9,26543,sinus tray,tracheotomy tray,neck dissection tray,,ENT,14301,14301 SKIN TISSUE REARRANGEMENT,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,60280,60280 REMOVE THYROID DUCT LESION,1,26543,sinus tray,tracheotomy tray,neck dissection tray,,PLASTIC,14301,14301 SKIN TISSUE REARRANGEMENT,2,26592,hand and wrist tray,plastic basic,major basic,,,,,
ENT,60500,60500 EXPLORE PARATHYROID GLANDS,1,26543,sinus tray,tracheotomy tray,neck dissection tray,,PLASTIC,15002,15002 WOUND PREP TRK/ARM/LEG,3,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15820,15820 REVISION OF LOWER EYELID,1,26553,eye plastic,plastic delicate,,,PLASTIC,15050,15050 SKIN PINCH GRAFT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15821,15821 REVISION OF LOWER EYELID,2,26553,eye plastic,plastic delicate,,,ENT,15100,15100 SKIN SPI T GRFF TRNK/ARM/LEG,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15822,15822 REVISION OF UPPER EYELID,1,26553,eye plastic,plastic delicate,,,GEN,15100,15100 SKIN SPLT GRFT TRNK/ARM/LFG,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15823,15823 REVISION OF UPPER EYELID,2,26553,eye plastic,plastic delicate,,,PLASTIC,15100,15100 SKIN SPLT GRFT TRNK/ARM/LF.G,4,26592,hand and wrist tray,plastic basic,,,,,,
ENT,67900,67900 REPAIR BROW DEFECT,1,26553,eye plastic,plastic delicate,,,ENT,15101,15101 SKIN SPLT GRFT T/A/L ADD-ON,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,67912,67912 CORRECTION EYELID W/ IMPLANT,2,26553,eye plastic,plastic delicate,,,ORAL,15120,15120 SKN SPL.T A-GRFT FAC/NCK/HF/G,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,67917,67917 REPAIR EYELID DEFECT,1,26553,eye plastic,plastic delicate,,,ENT,15240,15240 SKIN FULL GRAFT,3,26592,hand and wrist tray,plastic basic,,,,,,
ENT,14040,14040 SKIN TISSUF REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,,,PLASTIC,15241,15241 SKIN FULL GRAFT ADD-ON,4,26592,hand and wrist tray,plastic basic,,,,,,
ENT,14060,14060 SKIN TISSUE REARRANGEMENT,1,26592,hand and wrist tray,plastic basic,,,OPTHAMOLOGY,15260,15260 SKIN FULL GRAFT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,14301,14301 SKIN TISSUE REARRANGEMENT,2,26592,hand and wrist tray,plastic basic,,,PODIATRY,15271,15271 SKIN SUB GRAFT TRNK/ARM/LEG 1,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15100,15100 SKIN SPI T GRFF TRNK/ARM/LEG,2,26592,hand and wrist tray,plastic basic,,,PLASTIC,15275,15275 SKIN SUB GRAFT FACE/NK/HF/G,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15101,15101 SKIN SPLT GRFT T/A/L ADD-ON,2,26592,hand and wrist tray,plastic basic,,,GEN,15550,15550 TRANSFER SKIN PEDICLE FLAP,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15240,15240 SKIN FULL GRAFT,3,26592,hand and wrist tray,plastic basic,,,PLASTIC,15572,15572 FORM SKIN PEDICLE FLAP,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15630,15630 SKIN GRAFT,1,26592,hand and wrist tray,plastic basic,,,ENT,15630,15630 SKIN GRAFT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15732,15732 MUSCLE-SKIN GRAFT HEAD/NECK,2,26592,hand and wrist tray,plastic basic,,,ENT,15732,15732 MUSCLE-SKIN GRAFT HEAD/NECK,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15734,15734 MUSCLE-SKIN GRAFT TRUNK,2,26592,hand and wrist tray,plastic basic,,,OPTHAMOLOGY,15732,15732 MUSCLE-SKIN GRAFT HEAD/NECK,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,15740,15740 ISLAND PEDICLE FLAP GRAFT,1,26592,hand and wrist tray,plastic basic,,,ENT,15734,15734 MUSCLE-SKIN GRAFT TRUNK,2,26592,hand and wrist tray,plastic basic,,,,,,
ENT,31526,31526 DX LARYNGOSCOPY W/OPER SCOPE,2,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,GEN,15734,15734 MUSCLE-SKIN GRAFT TRUNK,4,26592,hand and wrist tray,plastic basic,,,,,,
ENT,31526,31526 DX LARYNGOSCOPY W/OPER SCOPE,1,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15734,15734 MUSCLE-SKIN GRAFT TRUNK,4,26592,hand and wrist tray,plastic basic,,,,,,
ENT,31535,31535 LARYNGOSCOPY W/BIOPSY,8,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15738,15738 MUSCLE-SKIN GRAFT LEG,3,26592,hand and wrist tray,plastic basic,,,,,,
ENT,31535,31535 LARYNGOSCOPY W/BIOPSY,2,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,ENT,15740,15740 ISLAND PEDICLE FLAP GRAFT,1,26592,hand and wrist tray,plastic basic,,,,,,
ENT,31536,31536 LARYNGOSCOPY W/BX & OP SCOPE,31,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,ENT,15820,15820 REVISION OF LOWER EYELID,1,26553,eye plastic,plastic delicate,,,,,,
ENT,31536,31536 LARYNGOSCOPY W/BX&OP SCOPE,11,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,ENT,15821,15821 REVISION OF LOWER EYELID,2,26553,eye plastic,plastic delicate,,,,,,
ENT,31541,31541 LARYNSCOP W/TUMR EXC + SCOPF,9,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15821,15821 REVISION OF LOWER EYELID,1,26553,eye plastic,plastic delicate,,,,,,
ENT,31575,31575 DIAGNOSTIC LARYNGOSCOPY,4,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,ENT,15822,15822 REVISION OF UPPER EYELID,1,26553,eye plastic,plastic delicate,,,,,,
ENT,31588,31588 REVISION OF LARYNX,6,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,ENT,15823,15823 REVISION OF UPPER EYELID,2,26553,eye plastic,plastic delicate,,,,,,
ENT,31588,31588 REVISION OF LARYNX,1,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,OPTHAMOLOGY,15823,15823 REVISION OF UPPER EYELID,30,26553,eye plastic,plastic delicate,,,,,,
ENT,31599,31599 LARYNX SURGERY PROCEDURE,11,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15823,15823 REVISION OF UPPER EYELID,3,26553,eye plastic,plastic delicate,,,,,,
ENT,31599,31599 LARYNX SURGERY PROCEDURE,1,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15830,15830 EXC SKIN ABD,2,26506,minor basic,plastic basic,,,,,,
ENT,31600,31600 INCISION OF WINDPIPE,5,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15832,15832 EXCISE EXCESSIVE SKIN TISSUE,1,26506,minor basic,plastic basic,,,,,,
ENT,31600,31600 INCISION OF WINDPIPE,3,26606,laryngoscopy,micro laryngoscopy,tracheotomy,,PLASTIC,15836,15836 EXCISE EXCESSIVE SKIN TISSUE,1,26506,minor basic,plastic basic,,,,,,
ENT,17110,17110 DESTRUCT B9 LESION 1-14,1,26622,,,,,PLASTIC,15847,15847 EXC SKIN ABD ADD-ON,1,26506,minor basic,plastic basic,,,,,,
ENT,20912,20912 REMOVE CARTHAGE FOR GRAM,1,26622,,,,,ENT,17110,17110 DESTRUCT B9 LESION 1-14,1,26506,minor basic,plastic basic,,,,,,
ENT,21044,21044 REMOVAL OF JAW BONE LESION,1,26622,,,,,PLASTIC,19300,19300 REMOVAL OF BREAST TISSUE,2,26596,plastic basic,,,,,,,
ENT,21552,21552 EXC NECK 1 FS SC 3 CM/>,1,26622,,,,,GEN,19303,19303 MAST SIMPLE COMPLETE,4,26596,plastic basic,,,,,,,
ENT,30100,30100 INTRANASAL BIOPSY,1,26622,,,,,PLASTIC,19303,19303 MAST SIMPLE COMPLETE,2,26596,plastic basic,,,,,,,
ENT,30110,30110 REMOVAL OF NOSE POLYP(S),1,26622,,,,,GEN,19305,19305 MAST RADICAL,1,26596,plastic basic,,,,,,,
ENT,30117,30117 REMOVAL OF INTRANASAL LESION,2,26622,,,,,PLASTIC,19316,19316 SUSPENSION OF BREAST,1,26596,plastic basic,,,,,,,
ENT,38500,38500 BIOPSY/REMOVAL LYMPH NODES,1,26622,,,,,PLASTIC,19318,19318 REDUCTION OF LARGE BREAST,12,26596,plastic basic,,,,,,,
ENT,38500,38500 BIOPSY/REMOVAL LYMPH NODES,1,26622,,,,,PLASTIC,19328,19328 REMOVAL OF BREAST IMPLANT,1,26596,plastic basic,,,,,,,
ENT,38505,38505 NEEDLE BIOPSY LYMPH NODES,1,26622,,,,,PLASTIC,19330,19330 REMOVAL OF IMPLANT MATERIAL,1,26596,plastic basic,,,,,,,
ENT,38510,38510 BIOPSY/REMOVAL LYMPH NODES,1,26622,,,,,PLASTIC,19340,19340 IMMEDIATE BREAST PROSTHESIS,1,26596,plastic basic,,,,,,,
ENT,38724,38724 REMOVAL OF LYMPH NODES NECK,8,26622,,,,,PLASTIC,19342,19342 DELAYED BREAST PROSTHESIS,1,26596,plastic basic,,,,,,,
ENT,38724,38724 REMOVAL OF LYMPH NODES NECK,5,26622,,,,,PLASTIC,19350,19350 BREAST RECONSTRUCTION,3,26596,plastic basic,,,,,,,
ENT,40490,40490 BIOPSY OF LIP,1,26622,,,,,GEN,19357,19357 BREAST RECONSTRUCTION,1,26596,plastic basic,,,,,,,laparoscope instruments
ENT,40500,40500 PARTIAL EXCISION OF IIP,1,26622,,,,,PLASTIC,19357,19357 BREAST RECONSTRUCTION,4,26596,plastic basic,,,,,,,laparoscope instruments
ENT,40510,40510 PARTIAL EXCISION OF LIP,1,26622,,,,,PLASTIC,19361,19361 BREAST RECONSTR W/LAT FLAP,8,26596,plastic basic,,,,,,,laparoscope instruments
ENT,41108,41108 BIOPSY OF FLOOR OF MOUTH,1,26622,,,,,PLASTIC,19367,19367 BREAST RECONSTRUCTION,1,26596,plastic basic,,,,,,,laparoscope instruments
ENT,41120,41120 PARTIAL REMOVAL OF TONGUE,1,26622,,,,,PLASTIC,19369,19369 BREAST RECONSTRUCTION,1,26596,plastic basic,,,,,,,laparoscope instruments
ENT,41150,41150 TONGUE MOUTH JAW SURGERY,1,26622,,,,,PLASTIC,19371,19371 REMOVAL OF BREAST CAPSULE,1,26596,plastic basic,,,,,,,laparoscope instruments
ENT,42410,42410 EXCISE PAROTID GLAND/LESION,4,26622,,,,,PLASTIC,19380,19380 REVISE BREAST RECONSTRUCTION,1,26596,plastic basic,,,,,,,laparoscope instruments
ENT,42415,42415 EXCISE PAROTID GLAND/LESION,4,26622,,,,,ORTHO,20245,20245 BONE BIOPSY EXCISIONAL 1,1,26506,minor basic,plastic basic,,,,,,laparoscope instruments
ENT,42420,42420 EXCISE PAROTID GLAND/LESION,2,26622,,,,,ORAL,20600,20600 DRAIN/INJ JOINT/BURSA W/O US,1,26631,dentalavelora tray,,,,,,,laparoscope instruments
ENT,42425,42425 EXCISE PAROTID GLAND/LESION,2,26622,,,,,ORAL,20605,20605 DRAIN/INJ J01NT/BURSA W/O US,1,26631,dentalavelora tray,,,,,,,laparoscope instruments
ENT,42440,42440 EXCISE SUBMAXILLARY GLAND,4,26622,,,,,ORAL,20670,20670 REMOVAL OF SUPPORT IMPLANT,3,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
ENT,D7140,D7140 EXTRACTION ERUPTED TOOTH/EXR,1,26631,dentalavelora tray,OR den instruments,,,ORAL,20680,20680 REMOVAL OF SUPPORT IMPLANT,2,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
ENT,69145,69145 REMOVE EAR CANAL LESION(S),1,26703,ear set,typanoplasty,plastic delicate,,ENT,20912,20912 REMOVE CARTHAGE FOR GRAM,1,22222,,,,,,,,laparoscope instruments
ENT,69310,69310 REBUILD OUTER EAR CANAL,2,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20930,20930 SP BONE Al.GRFT MORSEL ADD-ON 2,2,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69436,69436 CREATE EARDRUM OPENING,1,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20931,20931 SP BONE ALGRFT STRUCT ADD-ON 9,9,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69440,69440 EXPLORATION OF MIDDLE EAR,1,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20931,20931 SP BONE ALGRFT STRUCT ADD-ON,1,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69501,69501 MASTOIDECTOMY,1,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20936,20936 SP BONE AGRFT LOCAL ADD-ON,13,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69502,69502 MASTOIDECTOMY,1,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20937,20937 SP BONE AGRFT MORSEL ADD-ON 2,2,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69601,69601 MASTOID SURGERY REVISION,1,26703,ear set,typanoplasty,plastic delicate,,ORTHO,20938,20938 SP BONE AGRFT STRUCT ADD-ON 2,2,26668,spine A,spine B,spine C,lambotte osteotome,,,,laparoscope instruments
ENT,69631,69631 REPAIR EARDRUM STRUCTURES,5,26703,ear set,typanoplasty,plastic delicate,,NEURO,21012,21012 EXC FACE LES SBQ 2 CM/>,1,26506,minor basic,plastic basic,,,,,,laparoscope instruments
ENT,69636,69636 REBUILD EARDRUM STRUCTURES,1,26703,ear set,typanoplasty,plastic delicate,,ENT,21014,21014 EXC FACE TUM DEEP 2 CM/>,1,26506,minor basic,plastic basic,,,,,,laparoscope instruments
ENT,69641,69641 REVISE MIDDLE EAR & MASTOID,3,26703,ear set,typanoplasty,plastic delicate,,ORAL,21025,21025 EXCISION OF BONE LOWER JAW,1,26631,"dentalaveolar, NSK, KHS martin, OR den instruments",,,,,,,laparoscope instruments
ENT,69660,69660 REVISE MIDDLE EAR BONE,1,26703,ear set,typanoplasty,plastic delicate,,ENT,21044,21044 REMOVAL OF JAW BONE LESION,1,26622,,,,,,,,laparoscope instruments
