Tray_ID,Tray_Name,Instrument_Name,Instrument_ID,Quantity
26899,ENT BASIC F.E.S.S.,"TUBE, SUCTION STRAIGHT",Wolf 8150.19,1
26899,ENT BASIC F.E.S.S.,"SUCTION,TUBE, 3MM, SHORT, CC",SSI 63-7562,1
26899,ENT BASIC F.E.S.S.,"SPECULUM, VIENN, ORIG, NASAL, 3.32M, BLD, #3, 5.3inch",Storz N2123,1
26899,ENT BASIC F.E.S.S.,"SPECULUM, SEPTUM, 50MM, BLADES, 5.7inch",Storz N2181,1
26899,ENT BASIC F.E.S.S.,VIENNA NASAL SPEC. #1,SSI 63-6241,1
26899,ENT BASIC F.E.S.S.,"SCISSOR, MAYO, STR, 6.75inch",Week 460420,1
26899,ENT BASIC F.E.S.S.,"FILTER, STEAM",Aesculap 0,0
25978,ENT EAR,"CRILE, HALSTED, MOSQUITO, CVD, 5inch",Pilling 18-2310,5
25978,ENT EAR,"FCP, MOSQUITO, STR, 5inch",V Mueller CH8606,1
25978,ENT EAR,"FCP, ROCHEST-PEAN, HEMO, SERR, STR, 5.5",Pilling 18-1826,4
25978,ENT EAR,"FCP, ALLIS, TISSUE, 6inch",Pilling 18-2800,3
25978,ENT EAR,"CRILE-WOOD NEEDLE-HOLDER TUC, 7inch",Konig MDS2416418,1
25978,ENT EAR,"NH, PLASTIC, DERF, 4.75",V Mueller NL3102,2
25978,ENT EAR,"SCISSOR, IRIS, TC, CVD, 4 1/2inch",Pilling 144317,1
25978,ENT EAR,"SCISSOR, STEVENS, TENOTOMY, CVD, BLUNT, 4.5inch",Pilling 44-2515,1
25978,ENT EAR,"SCISSOR, METZENBAUM, CVD, 7inch",Pilling 14-2204,1
25978,ENT EAR,"SCISSOR, MAYO, STR, 6.75inch",Pilling 14-2227,1
25978,ENT EAR,"SCISSOR, LISTER, BANDAGE",Pilling 13-2420,1
25978,ENT EAR,"TOWEL CLAMP, PENETRATING, 3.5inch",Pilling 12-1605,4
25978,ENT EAR,"NEEDLE, BLUNT, #18, W/STYLET, 3inch",Medline BLUNT NEEDLE 3inch W/ STYLET #18,2
25978,ENT EAR,"NEEDLE, BLUNT, #20, W/STYLET, 3inch",Medline BLUNT NEEDLE 3inch W/ STYLET #20,2
25978,ENT EAR,"NEEDLE, BLUNT, #22, W/STYLET, 3inch",Medline BLUNT NEEDLE 3inch W/ STYLET #22,2
25978,ENT EAR,"NEDDLE, BLUNT, #24, W/STYLET, 3inch",Medline BLUNT NEEDLE 3inch W/ STYLET #24,2
25978,ENT EAR,"HANDLE, KNIFE, #3, 5inch",Pilling 35-2950,2
25978,ENT EAR,"HANDLE, ROUND, BEAVER, BLADE, SIZE, 7.5CM",Pilling 45-6005,1
25978,ENT EAR,"FCP, LUCAE-BAYONET, DRESSING, TIP, 5.5inch",Pilling 27-100,1
25978,ENT EAR,"SUCTION, TUBE, BARON, 3FR",Pilling 41-1700,2
25978,ENT EAR,"SUCTION, TUBE, BARON, 5FR",Pilling 41-1702,2
25978,ENT EAR,"SUCTION, TUBE, BARON, 7FR",Pilling 41-1704,2
25978,ENT EAR,"Clamps, Cut-off Hoffman (Screw-type)",Unknown,1
25978,ENT EAR,"SPECULUM, ENDURAL, ANGLED",Pilling 29-480,2
25978,ENT EAR,"SUCTION, FRAZIER, TUBE, ANGLED, #2, 8FR.",Pilling 16-2412,1
25978,ENT EAR,"SUCTION, TUBE, FRAZIER, ANGLED, 4inch, 10FR.",Pilling 16-2414,1
25978,ENT EAR,"SPECULUM, BOUCHERON, EAR, ROUND, #1",Pilling 25101,1
25978,ENT EAR,"SPECULUM, BOUCHERON, EAR, ROUND, #2",Pilling 25102,1
25978,ENT EAR,"SPECULUM, BOUCHERON, EAR, ROUND, #3",Pilling 25103,1
25978,ENT EAR,"SPECULUM, FARRIER, EAR, OVAL, #5",Pilling 25164,1
25978,ENT EAR,"SPECULUM, FARRIER, OVAL, EAR, #7",Pilling 25168,1
25978,ENT EAR,"RETRACTOR, SENN, 3-PRONGS, BLUNT, 6.25inch",Pilling 16-4752,2
25978,ENT EAR,"RETRACTOR, BELLU-WULL, 2-PRONGS, BLUNT, LEFT, 5.1inch",Storz N1692-30,1
25978,ENT EAR,"RETRACTOR, BELL-WULL, 2-PRONGS, SHARP, RGT,5.1inch",Storz N1692-31,1
25978,ENT EAR,"SUCTION, TUBE, ADSON, CVD, 7MM, 7.25inch",Pilling 53-6100,1
25978,ENT EAR,"OR/ENT ELEV, SUCT, GORNEY, SEPTUM, 8 1/2inch",SSI 63-7570,1
25978,ENT EAR,"ELEVATOR, PERIOSTEAL, JOSEPH, 6.5 4.5MM, WIDE, BLD",Jarit 400-281,1
25978,ENT EAR,"ELEVATOR, PERISTEAL, LANGENBECK, WIDE, 7.0inch",Week 586105,1
25978,ENT EAR,"CLAMP, FOERSTER, SPONGE, SERRATED, STR, 9.5inch",Pilling 12-1417,2
25978,ENT EAR,"ELEVATOR, PERIOSTEAL, JOSEPH",Week 053120,1
25978,ENT EAR,"RETRACTOR, WEITLANER, PAPARELLA, 2 TOOTH, CVD",Pilling 41-1806,2
25978,ENT EAR,"RONGUER, BONE, CANAL, LEMPERT, STR, 6.5",Week 28101,1
25978,ENT EAR,"CLIP, ZIMMER, LARGE",Zimmer 5702,2
25978,ENT EAR,"CLIP, ZIMMER, SMALL",Zimmer 5703,2
25978,ENT EAR,WEITH LANDER,Pilling 16-5362,2
25978,ENT EAR,"RETRACTOR, WEITHELANDER, BLUNT 5.5inch",Pilling 21-9513,2
25978,ENT EAR,"SHEENY, FASCIA PRESS, 23MMx31MM PLATE, 7-1/2inch",Boss 90-4400,1
25978,ENT EAR,"CRUSHER, FASCIA, SMALL",Karl Storz N 1685-PI (S),1
25978,ENT EAR,"NH, OLSEN-HEGAR, COMBIN, NH/SCISSOR, STR, 5.5inch",SSI 32-160,2
25978,ENT EAR,HOUSE CUT OFF ADAPTER,Konig MDS0385230,2
25978,ENT EAR,"FCP, SILVERGLIDE, BIPOLAR, lO.cm SF Jewelers, 0.4MM TIP",Stryker 6715-100-004,1
25978,ENT EAR,"KNIFE, JOSEPH",Karl Storz 493800,1
25978,ENT EAR,"HOOK, SKIN, DOUBLE, SHARP, 10MM",Karl Storz 499210,2
25978,ENT EAR,"HOOK, SKIN, DOUBLE, SHARP, 5MM",Karl Storz 499205,2
25978,ENT EAR,"HOOK, SKIN, DOUBLE, SHARP, 2MM",Karl Storz 499202,2
25978,ENT EAR,"HOOK, SKIN, SINGLE",Karl Storz 499201,2
25978,ENT EAR,"HOOK, SKIN, DOUBLE, SHARP, 7MM",Karl Storz 499207,2
25978,ENT EAR,"FORCEP, ADSON, BROWN",Karl Storz 533212,2
25978,ENT EAR,"FCP, ADSON TISSUE WITH TEETH",Karl Storz 533112,1
25978,ENT EAR,"FCP, ADSON, SMOOTH",Karl Storz 533012,1
25978,ENT EAR,"FILTER, STEAM",Aesculap 0,0
27831,ENT NASAL,"CRILE, HALSTED, MOSQUITO, CVD, 5inch",Pilling 18-2310,3
27831,ENT NASAL,"ALLIS, TISSUE, 4 X 5 TTH, 6inch",Pilling 18-2860,4
27831,ENT NASAL,"NH, HALSEY, SMOOTH, JAW, 5.25inch",Pilling 15-2800,2
27831,ENT NASAL,"NH, CRILE, WOOD, 6.25inch",Pilling 15-2780,1
27831,ENT NASAL,"NH, OLSEN-HEGAR, COMBIN, NH/SCISSOR, STR, 5.5inch",SSI 32-160,2
27831,ENT NASAL,"SCISSOR, FOMON, DORSAL, ANGLED, STR, BLADE, 5.5inch",Pilling 56400,1
27831,ENT NASAL,"SCISSOR, CONVERSE, ANGLED, 10CM, 4inch",Snowden 88-6118,1
27831,ENT NASAL,"SCISSOR, IRIS, TC, CVD, 4 1/2inch",Pilling 144317,2
27831,ENT NASAL,"SCISSOR, FORMAN, NASAL, CVD, BLUNT, TIP, 5.25inch",Pilling 44-2540,1
27831,ENT NASAL,"SCISSOR, TENOTOMY, CR",Pilling 44-1270,1
27831,ENT NASAL,"SCISSOR, JAMISON, METZENBAUM, CVD, 7inch",Pilling 34-2221,1
27831,ENT NASAL,"SCISSOR, METZENBAUM, CVD, 7inch",Pilling 14-2204,1
27831,ENT NASAL,"SCISSOR, MAYO, STR, 6.75inch",Pilling 14-2227,2
27831,ENT NASAL,"SCISSOR, KNIGHT, GOLDMAN, DORSAL, ANGLED, 7inch",Snowden 32-5837,1
27831,ENT NASAL,"CLAMP, BACKHAUS, TOWEL, 3.5inch",Pilling 44-7050,1
27831,ENT NASAL,"TOWEL CLAMP, PENETRATING, LARGE, 5.5inch",Pilling 12-1600,1
27831,ENT NASAL,"HANDLE, KNIFE, #3, 5inch",Pilling 35-2950,2
27831,ENT NASAL,"HANDLE, KNIFE, #7",Pilling 35-2957,1
27831,ENT NASAL,"KNIFE, GOLDMAN, 45DEG, ANGLED",Richards 13-0401,1
27831,ENT NASAL,"KNIFE, BALLENGER, SWIVEL, 4MM, BLADE, STR, 7.5inch",Storz N2264,1
27831,ENT NASAL,"FCP, TISSUE, ADSON, BROWN, 4.75inch",Pilling 18-1235,2
27831,ENT NASAL,"FCP, ADSON, TISSUE, W/TEETH, 4.75inch",Pilling 18-1223,2
27831,ENT NASAL,"FCP, ADSON, DRESSING, 4.75inch",Pilling 18-1220,2
27831,ENT NASAL,"FCP, CUSHING, BAY, SERR, 7.25",Pilling 18-1420,1
27831,ENT NASAL,"FCP, GRUENWALD, 6.25inch",Pilling 43-1300,1
27831,ENT NASAL,"HOOK, JOSEPH, SKIN, SINGLE, 6.25inch",Pilling 44-2100,1
27831,ENT NASAL,"HOOK, JOSEPH, SKIN, DBL, 5MM, 6.25inch",Pilling 44-2104,2
27831,ENT NASAL,"HOOK, JOSEPH, SKIN, DBL, 10MM, 6.25inch",Pilling 44-2108,2
27831,ENT NASAL,"ELEVATOR, COTTLE, SEPTUM, 9inch",Pilling 44-1760,2
27831,ENT NASAL,"ELEVATOR, JOSEPH, PEROSTEAL, 6.5",Pilling 44-1705,2
27831,ENT NASAL,"SUCTION, FRAZIER-FERGUSON, NEURO, #1, 7FR",Pilling 16-2411,1
27831,ENT NASAL,"SUCTION, FRAZIER, TUBE, ANGLED, #2, 8FR.",Pilling 16-2412,1
27831,ENT NASAL,"OSTEOTOME, ANDER-NEIVERT, CVD, RGT, W/GUARD, 8inch",Storz N4366,1
27831,ENT NASAL,"OSTEOTOME, ANDER-NEIVERT, CVD, LFT, W/GUARD, 8inch",Storz N4367,1
27831,ENT NASAL,"OSTEOTOME, MINI, RUBIN, 13CM, 10MM",Weck 051210,1
27831,ENT NASAL,"OSTEOTOME, MINI, RUBIN,17CM, 12MM",Weck 051212,1
27831,ENT NASAL,"OSTEOTOME, MINI, RUBIN, 12.5CM, 14MM",Weck 051214,1
27831,ENT NASAL,"OSTEOTOME, HOKE, 3/16, 4MM",Storz 451021,1
27831,ENT NASAL,"OSTEOTOME, MINI, 13CM, 4MM",Weck 051104,1
27831,ENT NASAL,"OSTEOTOME, GUARDED, DOUBLE,",Pilling RH1456,1
27831,ENT NASAL,"RASP, MALTZ, 33MM X 6.6MM, 20 TEETH, 6.6inch",Storz N4525,1
27831,ENT NASAL,"NASAL, BOIES, STRAIGHT, 9MM",Pencer 53115,1
27831,ENT NASAL,"RASP, CARB-BITE, GLABBELA, 8.25inch, 5.5MM X 10MM",Jarit 420-184,1
27831,ENT NASAL,"RASP, CARB-BITE, #1/2, VERY, FIN, GRIT, D/E, 8.25inch",Jarit 420-170,1
27831,ENT NASAL,"RASP, CARB-BITE, #3/4, FINE, GRIT, D/E, 8.25inch",Jarit 420-171,1
27831,ENT NASAL,"RASP, CARB-BITE, #5/6, COARSE, GRIT, D/E, 8.25inch",Jarit 420-172,1
27831,ENT NASAL,CALIPER,Storz 2604,1
27831,ENT NASAL,"ELEVATOR, FREER, DOUBLE, END, BLUNT, 7inch",Pilling 35-5194,2
27831,ENT NASAL,"ELEVATOR, WOODSON, DE, 7inch",Boss 70-3052,1
27831,ENT NASAL,"FCP, BISHOP, HARMON, STR, 1X2",Pilling 42-7390,1
27831,ENT NASAL,"KNIFE, RETRACTOR, GUIDE, BALL, RIGHT",Klenk LN5164,1
27831,ENT NASAL,"KNIFE, GUIDE, BALL, RETRACTOR, LEFT",Klenk LN5165,1
27831,ENT NASAL,"SCISSOR, BECKER, SEPTUM",V Mueller N3090,1
27831,ENT NASAL,"ELEVATOR, CORNEY, SUCTION, 3MM TIP",Xomed 3714383,1
27831,ENT NASAL,"MALLET, SMALL, 6.5inch",Zimmer 44-1400,1
27831,ENT NASAL,"RETRACTOR, AUFRICHT, SPECULUM, 45MM, 6.5",Pilling 44-2270,2
27831,ENT NASAL,"FCP, TAKAHASHI, 2.5MM, WIDE, 7.5inch, OR/ENT",Pilling 43-1360,1
27831,ENT NASAL,"RONGEUR, JANSEN, MIDDLETON, LARGE",Pilling 43-1392,1
27831,ENT NASAL,"RONGEUR, JANSEN, MIDDLETON, 4X11",Pilling 43-1394,1
27831,ENT NASAL,"RONGEUR, JANSEN-MIDDLETON, THRU CUTTING, 4MM",Pilling FF 4,1
27831,ENT NASAL,"SPECULUM, VIENNA, NASAL, #1, SMALL, 5-1/8inch",Pilling 43-1110,1
27831,ENT NASAL,"SPECULUM, SEPTUM, COTTLE, BLADE, 3.5",Pilling 43-1132,1
27831,ENT NASAL,"SPECULUM, KILLIAN, SEPTUM, 76MM",Pilling 43-1152,1
27831,ENT NASAL,"SPECULUM, NASAL, 5MM",Weck 30102,1
27831,ENT NASAL,Nasal Speculum 2 1/2m,Weck 3028,1
27831,ENT NASAL,FORCEPS SEPTUM WALSHAM STRAIGHT 9inch,Princeton 47572-23,1
27831,ENT NASAL,FORCEPS SEPTUM ASCH STRAIGHT 9inch,Princeton 47571-23,1
27831,ENT NASAL,"CLIP, ZIMMER, SMALL",Zimmer 5703,4
27831,ENT NASAL,"RUBIN, MORSELIZER, 2 PIECES, 8inch",Pilling 44-3680,1
27831,ENT NASAL,"FCP, BIPOLAR, SILVERGLIDE, 0.4MM",Stryker 00-004,1
27831,ENT NASAL,"FILTER, STEAM",Aesculap 0,0
25981,ENT NASAL ANESTHESIA,Metal Emesis Basin,Supply Metal Emesis Basin,1
25981,ENT NASAL ANESTHESIA,"SPECULUM, VIENNA, NASAL, #1, SMALL, 5-1/8inch",Pilling 43-1110,1
25981,ENT NASAL ANESTHESIA,"FCP, CUSHING, BAY, SERR, 7.25",Pilling 18-1420,1
25981,ENT NASAL ANESTHESIA,"FILTER, STEAM",Aesculap 0,0
26978,ENT NECK DISSECTION,"CRILE, HALSTED, MOSQUITO, CVD, 5inch",Pilling 18-2310,10
26978,ENT NECK DISSECTION,"DISSECTOR, MCCABE, FACIAL, NERVE, ANG 14MM, SMTH, 5.5inch",V Mueller RH1585,2
26978,ENT NECK DISSECTION,"CRILE, HEMOSTAT, CVD, 5.5inch",Pilling 18-2060,10
26978,ENT NECK DISSECTION,"FCP, GEMINI, CLASSIC, DELICATE, HEMO, CVD, 5.5inch",Codman 19-5579,2
26978,ENT NECK DISSECTION,"CLAMP, ROCHES-PEAN, SERR, CVD, 8inch",Pilling 18-2460,2
26978,ENT NECK DISSECTION,"FCP, BABCOCK, TISSUE, STANDARD, 6.25inch",Pilling 18-3010,2
26978,ENT NECK DISSECTION,"ALLIS, TISSUE, 4 X 5 TTH, 6inch",Pilling 18-2860,6
26978,ENT NECK DISSECTION,"FCP, BRIDGE, HEMOSTATIC, SERR, CVD, 7.25inch",Weck 540111,10
26978,ENT NECK DISSECTION,"FCP, KANTROWITZ, RGT, ANGLE, SERR, 7.75inch",Pilling 34-2557,2
26978,ENT NECK DISSECTION,"FCP, MEEKER FCP 7inch 90, DEG L",Weck 540150,2
26978,ENT NECK DISSECTION,"NH, MAYO, HEGAR, 7.5inch",Pilling 15-2722,1
26978,ENT NECK DISSECTION,"NH, CRILE, WOOD, 7inch",Pilling 15-2782,2
26978,ENT NECK DISSECTION,"NH, OLSEN, HEGAR, FINE, 12,5CM, 5inch, TC",Walter Lorenz 51-6750,2
26978,ENT NECK DISSECTION,"NH, OLSEN-HEGAR, COMBIN, NH/SCISSOR, STR, 5.5inch",SSI 32-160,2
26978,ENT NECK DISSECTION,"NH, HALSEY, SMOOTH, JAW, 5.25inch",Pilling 15-2800,2
26978,ENT NECK DISSECTION,"SCISSOR, IRIS, EYE, MICRO, CVD, 4.5",Pilling 14-4317,1
26978,ENT NECK DISSECTION,"SCISSOR, MAYO, CVD, 6.75inch",Pilling 14-2225,1
26978,ENT NECK DISSECTION,"SCISSORS, MAYO, CVD, 12inch",Konig 0828130,1
26978,ENT NECK DISSECTION,"SCISSOR, MAYO, STR, 6.75inch",Pilling 14-2227,1
26978,ENT NECK DISSECTION,"SCISSOR, DEBAKEY, METZENBAUM, 9inch",Pilling 342166,1
26978,ENT NECK DISSECTION,"SCISSOR, METZENBAUM, CVD, 7inch",Pilling 14-2204,1
26978,ENT NECK DISSECTION,"SCISSOR, JAMISON, METZENBAUM, CVD, 6inch",Pilling 34-2220,2
26978,ENT NECK DISSECTION,"SCISSOR, LISTER, BANDAGE",Pilling 13-2420,1
26978,ENT NECK DISSECTION,"TOWEL CLAMP, PENETRATING, 3.5inch",Pilling 12-1605,4
26978,ENT NECK DISSECTION,"TOWEL CLAMP, PENETRATING, LARGE, 5.5inch",Pilling 12-1600,4
26978,ENT NECK DISSECTION,"HANDLE, KNIFE, #3, 5inch",Pilling 35-2950,2
26978,ENT NECK DISSECTION,"HANDLE, KNIFE, #7",Pilling 35-2957,1
26978,ENT NECK DISSECTION,"FCP, ADSON, TISSUE, W/TEETH, 4.75inch",Pilling 18-1223,2
26978,ENT NECK DISSECTION,"ELEVATOR, FREER, 7inch",Pilling 36500,1
26978,ENT NECK DISSECTION,"FCP, TISSUE, ADSON, BROWN, 4.75inch",Pilling 18-1235,2
26978,ENT NECK DISSECTION,"FCP, THUMB, TISSUE, 1 X 2 TTH, 5.5inch",Pilling 18-1129,2
26978,ENT NECK DISSECTION,"FCP. GERALD, TISSUE, W/TEETH, 7inch",Pilling 35-1905,2
26978,ENT NECK DISSECTION,"FCP, GERALD, TISSUE, w/o tth 7inch",Pilling 35-1900,2
26978,ENT NECK DISSECTION,"FCP, DEBAKEY, TISSUE, ATRAUGRIP, VASC, STR, 7.75inch",Pilling 35-1802,3
26978,ENT NECK DISSECTION,"RETRACTOR, SENN, 3-PRONGS, BLUNT, 6.25inch",Pilling 16-4752,2
26978,ENT NECK DISSECTION,"HOOK, DANDY, NERVE, STRAIGHT, 9inch",Pilling 18-5714,1
26978,ENT NECK DISSECTION,"HOOK, JOSEPH, SKIN, DBL, 10MM, 6.25inch",Pilling 44-2108,2
26978,ENT NECK DISSECTION,"HOOK, JOSEPH, SINGLE, SHARP PRONG, 6.25, 15.9CM",Miltex 21-153,1
26978,ENT NECK DISSECTION,"HOOK, JOSEPH, DOUBLE, 6.5 SHARP",Weck 54105,1
26978,ENT NECK DISSECTION,"RETRACTOR, BERNAY, TRACH, 1-PRONG, SHARP, 6-5/8inch",Pilling 51-4430,1
26978,ENT NECK DISSECTION,"DILATOR, JACKSON, TRACH, ADULT, 5-1/2inch",Pilling 51-4377,1
26978,ENT NECK DISSECTION,"RETRACTOR, CUSHING, NERVE, 8-3/8inch",Pilling 16-4865,1
26978,ENT NECK DISSECTION,"FERGUSON SUCTION, 12 FR",Karl Storz 204812,2
26978,ENT NECK DISSECTION,"RETRACTOR, RICH, APPEND, BLD, 1.9CM X 5.4CM, 9.5inch",Pilling 16-4540,2
26978,ENT NECK DISSECTION,"RETRACTOR, RICHARDSON, LARGE",Pilling 16-4850,2
26978,ENT NECK DISSECTION,"APPLIER, HEMOCLIP, SM (OLD) HORIZON RED 8inch",Horizon 137082,2
26978,ENT NECK DISSECTION,"SUCTION, ANDREW, PEDIATRIC, 6MM TIP, 9 1/4inch",Pilling 162310,2
26978,ENT NECK DISSECTION,"RET, CUMMINGS UNIVERSAL, SMALL",Gyrus ACMI 130184,1
26978,ENT NECK DISSECTION,"RET, CUMMINGS UNIVERSAL, MEDIUM",Gyrus ACMI 130185,1
