cpt,CPT,Procedure,Quantity,Possible ORCC,,,
33517,33517,33517 CABG ARTERY-VEIN SINGLE,15,OPEN HEART CABG,26634,26634,
33518,33518,33518 CABG ARTERY-VEIN TWO,31,OPEN HEART CABG,26634,26634,
33519,33519,33519 CABG ARTERY-VEIN THREF,18,OPEN HEART CABG,26634,26634,
33533,33533,33533 CABG ARTERIAL SINGLE,51,OPEN HEART CABG,26634,26634,
34802,34802,34802 ENDOVAS AAA REPR W/2-P PART,19,VASCULAR AAA ENDO STENT (EVAR),26704,26704,
34812,34812,34812 XPOSE FOR ENDOPROSTH FEMORL,15,,63,,
34825,34825,34825 ENDOVASC EXTEND PROSTH INIT,9,VASCULAR AAA ENDO STENT (EVAR),26704,26704,
35301,35301,35301 RECHANNELING OF ARTERY,26,,26705,26705,
36200,36200,36200 PLACE CATHETER IN AORTA,18,,66,,
36418,36418,36418 ENDOVENOUS LASER 1ST VEIN,10,,67,,
36818,36818,36818 AV FUSE UPPR ARM CEPHALIC,22,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
36819,36819,36819 AV FUSE UPPR ARM BASILIC,8,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
36821,36821,36821 AV FUSION DIRECT ANY SITE,11,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
36825,36825,36825 ARTFRY VEIN AUTOGRAFT,8,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
36830,36830,36830 ARTERY-VEIN NONAUTOGRAFT,24,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
37607,37607,37607 LIGATION OF A-V FISTULA,9,VASCULAR A-V GRAFT - FISTULA - BRACHIAL,26620,26620,
37765,37765,37765 STAB PHLLB VEINS XTR 10-20,11,,74,,
37766,37766,37766 PHLEB VEINS - EXTREM 20+,2,,75,,
38500,38500,38500 BIOPSY/REMOVAL LYMPH NODES,11,GENERAL BIOPSY,26506,26506,
38724,38724,38724 REMOVAL OF LYMPH NODES NECK,8,,77,,
44139,44139,44139 MOBILIZATION OF COLON,10,"GENERAL LAPAROSCOPIC ASSISTED (CHOLECYST, etc.)",26519,26519,
44205,44205,44205 LAP COLECTOMY PART W/ILEUM,10,GENERAL LAPAROSCOPIC COLECTOMY,25958,25958,
44970,44970,44970 LAPAROSCOPY APPENDECTOMY,14,"GENERAL LAPAROSCOPIC ASSISTED (CHOLECYST, etc.)",26519,26519,
46606,46606,46606 ANOSCOPY AND BIOPSY,9,,81,,
46924,46924,46924 DESTRUCTION ANAL LESION(S),13,,82,,
50081,50081,50081 REMOVAL OF KIDNEY STONE,8,,83,,
50590,50590,50590 FRAGMENTING OF KIDNEY STONE,8,,84,,
52000,52000,52000 CYSTOSCOPY,12,UROLOGY-CYSTOSCOPY,26604,26604,
52204,52204,52204 CYSTOSCOPY W/BIOPSY(S),15,UROLOGY-CYSTOSCOPY,26604,26604,
52234,52234,52234 CYSTOSCOPY AND TREATMENT,25,UROLOGY-CYSTOSCOPY,26604,26604,
52235,52235,52235 CYSTOSCOPY AND TREATMENT,12,UROLOGY-CYSTOSCOPY,26604,26604,
52260,52260,52260 CYSTOSCOPY AND TREATMENT,21,UROLOGY-CYSTOSCOPY,26604,26604,
52317,52317,52317 REMOVE BLADDER STONE,11,SUPRABIC CYST - BLADDER STONE,26684,26684,
52332,52332,52332 CYSTOSCOPY AND TREATMENT,53,UROLOGY-CYSTOSCOPY,26604,26604,
52332,52332,52332 CYSTOSCOPY AND TREATMENT,24,UROLOGY-CYSTOSCOPY,26605,26604,<-left one is different to prevent collision
52352,52352,52352 CYSTOURETERO W/STONE REMOVE,10,UROLOGY-CYSTOSCOPY,93,,
52353,52353,52353 CYSTOURETERO W/LITHOTRIPSY,23,UROLOGY-CYSTOSCOPY,94,,
52354,52354,52354 CYSTOURETERO W/BIOPSY,12,UROLOGY-CYSTOSCOPY,95,,
52356,52356,52356 CYSTO/URETERO W/LITHOTRIPSY,80,UROLOGY-CYSTOSCOPY,26604,26604,
52601,52601,52601 PROSTATECTOMY (TURP),26,UROLOGY - ISSA - RETROPUBIC PROSTATECTOMY,26680,26680,
55700,55700,55700 BIOPSY OF PROSTATE,9,GENERAL BIOPSY,26506,26506,
57288,57288,57288 REPAIR BLADDER DEFECT,10,,99,,
58350,58350,58350 REOPEN FALLOPIAN TUBE,8,GYN TUBAL REANASTOMOSIS,28655,28655,
58545,58545,58545 LAPAROSCOPIC MYOMECTOMY,19,GYN D-C LEEP PROCEDURE,26522,26522,
58552,58552,58552 LAPARO-VAG HYST INCL T/O,9,GYN LAPAROSCOPIC ASSISTED TVH,26527,26527,
58558,58558,58558 HYSTEROSCOPY BIOPSY,31,GYN D-C LEEP PROCEDURE,26522,26522,
58561,58561,58561 HYSTEROSCOPY REMOVE MYOMA,9,GYN D-C LEEP PROCEDURE,26522,26522,
58563,58563,58563 HYSTEROSCOPY ABLATION,23,GYN D-C LEEP PROCEDURE,26522,26522,
58573,58573,58573 TLH W/T/O UTERUS OVER 250 G,8,GYN LAPAROSCOPIC ASSISTED TVH,26527,26527,
58661,58661,58661 LAPAROSCOPY REMOVE ADNEXA,20,GYN D-C LEEP PROCEDURE,26522,26522,
58662,58662,58662 LAPAROSCOPY EXCISE LESIONS,26,GYN D-C LEEP PROCEDURE,26522,26522,
61782,61782,61782 SCAN PROC CRANIAL EXTRA,32,,109,,
63005,63005,63005 REMOVAL Of SPINAL LAMINA,10,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
63030,63030,63030 LOW BACK DISK SURGERY 19,19,,111,,
63047,63047,63047 REMOVAL OF SPINAL LAMINA 28,28,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
63048,63048,63048 REMOVE SPINAL LAMINA ADD-ON 24,24,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
63051,63051,63051 C-LAMI NOPLASTY W/GRAFT/PLATE 14,14,LUMBAR LAMINECTOMY W / WO FUSION,26668,26668,
64718,64718,64718 REVISE ULNAR NERVE AT ELBOW 17,17,,115,,
64721,64721,64721 CARPAL TUNNEL SURGERY 10,10,PLASTIC CARPAL TUNNEL RELEASE,26536,26536,
64721,64721,64721 CARPAL TUNNEL SURGERY,10,PLASTIC CARPAL TUNNEL RELEASE,26537,26536,<-left one is different to prevent collision
65756,65756,65756 CORNEAL TRNSPL ENDOTHELIAL,9,EYE PK (CORNEAL TRANSPLANT),26557,26557,
66170,66170,66170 GLAUCOMA SURGERY,20,EYE PLASTIC PROCEDURE,26632,26632,
66982,66982,66982 CATARACT SURGERY COMPLEX,162,EYE CATARACT PROCEDURE (TRABECULECTOMY,26554,26554,
66984,66984,66984 CATARACT SURG W/IOL 1 STAGE,841,EYE CATARACT PROCEDURE (TRABECULECTOMY,26554,26554,
67036,67036,67036 REMOVAL OF INNER EYE FLUID,11,EYE PLASTIC PROCEDURE,26632,26632,
67039,67039,67039 LASER TREATMENT OF RETINA,21,EYE PLASTIC PROCEDURE,26632,26632,
67042,67042,67042 VIT FOR MACULAR HOLE,29,EYE PLASTIC PROCEDURE,26632,26632,
67113,67113,67113 REPAIR RETINAL DETACH CPLX,9,EYE SCLERAL BUCKLE OR PPV,26555,26555,
67903,67903,67903 REPAIR EYELID DEFECT,33,EYE PLASTIC PROCEDURE,26632,26632,
67917,67917,67917 REPAIR EYELID DEFECT,13,EYE PLASTIC PROCEDURE,26632,26632,
69930,69930,69930 IMPLANT COCHLEAR DEVICE,13,ENT MASTOIDECTOMY - COCHLEAR IMPLANT,26703,26703,
74420,74420,74420 CONTRST X-RAY URINARY TRACT,49,,129,,
75710,75710,75710 ARTERY X-RAYS ARM/LEG,11,,130,,
75952,75952,75952 ENDOVASC REPAIR ABDOM AORTA,10,VASCULAR AAA ENDO STENT (EVAR),26704,26704,
76937,76937,76937 US GUIDE VASCULAR ACCESS,10,,132,,
2632,V2632,76872 US TRANSRECTAL,9,,133,,
39402,39402,Mediastinoscopy,10,CCS THORACIC MEDIASTINOSCOPY-PLEUROSCOPY,26608,26608,
19357,19357,BREAST RECONSTRUCTION,22,CSS GENERAL ABDOMINOPLASTY MAMMOPL,26596,26596,
26418,26418,Repair Finger/Hand Tendon,,REPAIR FINGER TENDON,26602,26602,
26615,26615,Treat Metacarpal Fracture,,,26602,26602,
44160,44160,Removal of Colon,12,,26509,26509,
