Surg_ORCC,Surg_Name,Tray_Name,Tray_ID,Num_of_Tray,
26669,CCS ORTHO KNEE ARTHROSCOPY,ORT ARTHREX KNEE ARTHROSCOPY,26877,1,
26655,TOTAL ELBOW REPLACEMENT,ORT GUIDE WIRES 18 GAUGE (IMPLANT),27591,1,
26669,CCS ORTHO KNEE ARTHROSCOPY,ORT KNEE ARTHROSCOPY CONFEED,26878,1,
26663,CCS ORTHO ANKLE FUSION ORIF,ORT SET STRYKER CORE DRILL/INSTRUMENTS,26829,1,
26665,CCS ORTHO TOTAL HIP,ORT SET STRYKER CORE DRILL/INSTRUMENTS,26829,1,
26666,CCS ORTHO TOTAL SHOULDER ART,ORT SET STRYKER CORE DRILL/INSTRUMENTS,26829,1,
26655,TOTAL ELBOW REPLACEMENT,ORT SET STRYKER CORE DRILL/INSTRUMENTS,26829,1,
26664,TOTAL KNEE REPLACEMENT,ORT SET STRYKER CORE DRILL/INSTRUMENTS,26829,1,
26669,CCS ORTHO KNEE ARTHROSCOPY,ORT STRYKER KNEE ARTHROSCOPY SET,26873,1,
26700,AMPUTATION EXTREMITY,ORT TRAY AMPUTATION,29513,1,
26665,CCS ORTHO TOTAL HIP,ORT TRAY BASIC ORTHO,27621,1,
26662,I & D CASES,ORT TRAY BASIC ORTHO,27621,1,
26655,TOTAL ELBOW REPLACEMENT,ORT TRAY BASIC ORTHO,27621,1,
26664,TOTAL KNEE REPLACEMENT,ORT TRAY BASIC ORTHO,27621,1,
26665,CCS ORTHO TOTAL HIP,ORT TRAY CHARNLEY RETRACTOR,25957,1,
26602,CCS ORTHO HAND-FOOT CASES,ORT TRAY HAND AND WRIST,26871,1,
26657,TENDON TRANSFER UPPER EXTREMITY,ORT TRAY HAND AND WRIST,26871,1,
26663,CCS ORTHO ANKLE FUSION ORIF,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26670,CCS ORTHO SHOULDER ARTHROSCOPY,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26665,CCS ORTHO TOTAL HIP,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26666,CCS ORTHO TOTAL SHOULDER ART,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26667,CSS ORTHO ANTERIOR CERVICAL LAMINECTOMY,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26640,OPEN REDUCTION INTERNAL FIXATION: ANK,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26664,TOTAL KNEE REPLACEMENT,ORT TRAY LAMBOTTE OSTEOTOME,26019,1,
26663,CCS ORTHO ANKLE FUSION ORIF,ORT TRAY MINOR ORTHO,26023,1,
26670,CCS ORTHO SHOULDER ARTHROSCOPY,ORT TRAY MINOR ORTHO,26023,1,
26640,OPEN REDUCTION INTERNAL FIXATION: ANK,ORT TRAY MINOR ORTHO,26023,1,
26536,CARPAL TUNNEL RE PLAST,ORT TRAY PLASTIC-HAND TRAY (DR. WALSH),27765,1,
26559,CCS PODIATRY CASE,ORT TRAY PODIATRY,27020,1,
26668,CCS ORTHO LUMBAR LAMINECTOMY W/WO FUSION,ORT TRAY SPINAL A,25959,1,
26667,CSS ORTHO ANTERIOR CERVICAL LAMINECTOMY,ORT TRAY SPINAL A,25959,1,
26668,CCS ORTHO LUMBAR LAMINECTOMY W/WO FUSION,ORT TRAY SPINAL B,25960,1,
26667,CSS ORTHO ANTERIOR CERVICAL LAMINECTOMY,ORT TRAY SPINAL B,25960,1,
26668,CCS ORTHO LUMBAR LAMINECTOMY W/WO FUSION,ORT TRAY SPINAL C,25961,1,
26667,CSS ORTHO ANTERIOR CERVICAL LAMINECTOMY,ORT TRAY SPINAL C,25961,2,
26665,CCS ORTHO TOTAL HIP,ORT TRAY TOTAL HIP,26025,1,
26663,CCS ORTHO ANKLE FUSION ORIF,ORT/POD KIRSCHNER AND STEINMANN (PINS WIRES),27141,1,
26640,OPEN REDUCTION INTERNAL FIXATION: ANK,ORT/POD KIRSCHNER AND STEINMANN (PINS WIRES),27141,1,
26655,TOTAL ELBOW REPLACEMENT,ORT/POD KIRSCHNER AND STEINMANN (PINS WIRES),27141,1,
26663,CCS ORTHO ANKLE FUSION ORIF,ORTHO FEMORAL IMPACTOR,27600,1,
26640,OPEN REDUCTION INTERNAL FIXATION: ANK,ORTHO FEMORAL IMPACTOR,27600,1,
26536,CARPAL TUNNEL RE PLAST,PL TRAY PLASTIC BASIC,26011,1,
26506,CCS MINOR SURGERY / PLASTIC CASES,PL TRAY PLASTIC BASIC,26011,1,
26565,CCS PLASTIC RAD NERVE DECOMPSS,PL TRAY PLASTIC BASIC,26011,1,
26608,CCS THORACIC MEDIASTINOSCOPY-PLEUROSCOPY,PL TRAY PLASTIC BASIC,26011,1,
26596,CSS GENERAL ABDOMINOPLASTY MAMMOPL,PL TRAY PLASTIC BASIC,26011,1,
26632,PLASTIC PROCEDURE,PL TRAY PLASTIC BASIC,26011,1,
26711,TEMPORAL ARTERY BIOPSY,PL TRAY PLASTIC BASIC,26011,1,
26657,TENDON TRANSFER UPPER EXTREMITY,PL TRAY PLASTIC BASIC,26011,1,
26549,CCS ENT TRACHEOSTOMY,PL TRAY PLASTIC DELICATE,26012,1,
26544,CCS ENT TYMPANOPLASTY-STAPEDECTOMY,PL TRAY PLASTIC DELICATE,26012,1,
26603,RADICAL NECK-TRACH,PL TRAY PLASTIC DELICATE,26012,1,
26610,ESOPHAGOGASTRECTOMY,THO TRAY CHEST OPEN,25993,1,
26607,OPN CHST-BRONSCPY,THO TRAY CHEST OPEN,25993,1,
26614,THORACOSCOPY,THO TRAY CHEST OPEN,25993,1,
26608,CCS THORACIC MEDIASTINOSCOPY-PLEUROSCOPY,THO TRAY MEDIASTINOSCOPY INSTRUMENTS,25992,1,
26668,CCS ORTHO LUMBAR LAMINECTOMY W/WO FUSION,THO TRAY RIB,25994,1,
26610,ESOPHAGOGASTRECTOMY,THO TRAY RIB,25994,1,
26677,NEPHROURETERECTOMY,THO TRAY RIB,25994,1,
26607,OPN CHST-BRONSCPY,THO TRAY RIB,25994,1,
26614,THORACOSCOPY,THO TRAY RIB,25994,1,
26620,CCS VASCULAR A-V GRAFT-FISTULA,VAS KELLY-WICK TUNNELER (NEW),26904,1,
26620,CCS VASCULAR A-V GRAFT-FISTULA,VAS TRAY MINI VASCULAR,26003,1,
26704,AAA ENDO STENT,VAS TRAY MINOR VASCULAR,26004,1,
26705,CAROTID ENDARTERECTOMY,VAS TRAY MINOR VASCULAR,26004,1,
26677,NEPHROURETERECTOMY,VAS TRAY MINOR VASCULAR,26004,1,
26620,CCS VASCULAR A-V GRAFT-FISTULA,VAS TRAY RENAL TIBIA,26002,1,
